Namespace(batch_size=128, concat=True, dataset='politifact', device='cpu', dropout_ratio=0.0, epochs=80, feature='spacy', lr=0.001, model='gcn', multi_gpu=False, nhid=128, num_classes=2, num_features=300, seed=777, weight_decay=0.01)
loss_train: 0.0192, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5880, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8803
loss_train: 0.0168, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5700, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8803
loss_train: 0.0154, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5589, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0150, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5562, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0145, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5609, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0136, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5723, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0125, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5887, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0119, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6048, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0117, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6138, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0117, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6111, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8846
loss_train: 0.0115, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5985, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0111, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5824, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0109, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5691, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0110, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5614, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0113, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5600, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0113, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5645, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0113, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5732, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8846
loss_train: 0.0113, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5818, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8889
loss_train: 0.0116, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5847, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8889
loss_train: 0.0119, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5788, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8889
loss_train: 0.0121, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5667, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8889
loss_train: 0.0122, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5541, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8889
loss_train: 0.0125, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5459, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8889
loss_train: 0.0130, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5441, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
loss_train: 0.0133, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5481, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
loss_train: 0.0135, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5550, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
loss_train: 0.0138, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5593, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8932
loss_train: 0.0141, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5564, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8932
loss_train: 0.0144, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5475, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
loss_train: 0.0147, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5380, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
loss_train: 0.0150, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5331, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8932
